colour	x	y	showSelectedlegendcolour	PANEL	fill
#53B400	60.0643658536585	5.717	Latin America & Caribbean	1	#53B400
#C49A00	69.7346341463415	2.08	Europe & Central Asia	1	#C49A00
#00C094	53.1604634146342	5.585	Middle East & North Africa	1	#00C094
#FB61D7	44.4299512195122	6.497	Sub-Saharan Africa	1	#FB61D7
#C49A00	73.3187804878049	2.788	Europe & Central Asia	1	#C49A00
#FB61D7	44.217	6.769	Sub-Saharan Africa	1	#FB61D7
#C49A00	71.6736585365854	1.688	Europe & Central Asia	1	#C49A00
#F8766D	61.5300975609756	4.054	East Asia & Pacific	1	#F8766D
#F8766D	63.8545853658537	6.682	East Asia & Pacific	1	#F8766D
#C49A00	72.8536585365854	2.09	Europe & Central Asia	1	#C49A00
#FB61D7	50.6999024390244	5.023	Sub-Saharan Africa	1	#FB61D7
#C49A00	72.7243902439024	1.81	Europe & Central Asia	1	#C49A00
#53B400	64.6137804878049	4.436	Latin America & Caribbean	1	#53B400
#C49A00	68.6816097560976	2.502	Europe & Central Asia	1	#C49A00
#FB61D7	51.2058536585366	6.815	Sub-Saharan Africa	1	#FB61D7
#FB61D7	43.1097317073171	6.293	Sub-Saharan Africa	1	#FB61D7
#FB61D7	36.2787317073171	6.882	Sub-Saharan Africa	1	#FB61D7
#FB61D7	41.2463658536585	5.674	Sub-Saharan Africa	1	#FB61D7
#C49A00	73.0244634146342	2.365	Europe & Central Asia	1	#C49A00
#53B400	55.1896097560976	6.201	Latin America & Caribbean	1	#53B400
#F8766D	67.7789024390244	3.801	East Asia & Pacific	1	#F8766D
#FB61D7	38.3902926829268	6.866	Sub-Saharan Africa	1	#FB61D7
#53B400	58.0670487804878	4.383	Latin America & Caribbean	1	#53B400
#F8766D	73.3682926829268	2.666	East Asia & Pacific	1	#F8766D
#53B400	55.6771219512195	6.844	Latin America & Caribbean	1	#53B400
#C49A00	70.0019512195122	1.985	Europe & Central Asia	1	#C49A00
#53B400	48.8693414634146	5.642	Latin America & Caribbean	1	#53B400
#C49A00	69.29	2.35	Europe & Central Asia	1	#C49A00
#F8766D	54.8905365853659	5.043	East Asia & Pacific	1	#F8766D
#C49A00	71.5462926829268	3.396	Europe & Central Asia	1	#C49A00
#00C094	72.0451219512195	3.554	Middle East & North Africa	1	#00C094
#A58AFF	52.5806097560976	5.077	South Asia	1	#A58AFF
#00C094	60.7249512195122	6.993	Middle East & North Africa	1	#00C094
#00C094	55.2263658536585	6.204	Middle East & North Africa	1	#00C094
#C49A00	75.5787804878049	2.613	Europe & Central Asia	1	#C49A00
#C49A00	72.6473170731708	2.208	Europe & Central Asia	1	#C49A00
#C49A00	72.3246097560976	1.659	Europe & Central Asia	1	#C49A00
#53B400	69.3587317073171	4.478	Latin America & Caribbean	1	#53B400
#00C094	64.3139512195122	7.596	Middle East & North Africa	1	#00C094
#F8766D	75.0573170731707	1.909	East Asia & Pacific	1	#F8766D
#FB61D7	55.0311219512195	7.84	Sub-Saharan Africa	1	#FB61D7
#C49A00	61.5363170731707	4.365	Europe & Central Asia	1	#C49A00
#F8766D	34.1257317073171	4.901	East Asia & Pacific	1	#F8766D
#FB61D7	49.9868292682927	7.054	Sub-Saharan Africa	1	#FB61D7
#F8766D	65.2314390243902	3.101	East Asia & Pacific	1	#F8766D
#F8766D	63.9558536585366	3.47	East Asia & Pacific	1	#F8766D
#00C094	68.7905609756098	6.421	Middle East & North Africa	1	#00C094
#C49A00	63.4055365853659	3.249	Europe & Central Asia	1	#C49A00
#F8766D	47.2365365853659	6.059	East Asia & Pacific	1	#F8766D
#00C094	65.8452926829268	4.536	Middle East & North Africa	1	#00C094
#53B400	66.1578780487805	5.462	Latin America & Caribbean	1	#53B400
#A58AFF	65.5611463414634	3.783	South Asia	1	#A58AFF
#FB61D7	43.1158780487805	6.88	Sub-Saharan Africa	1	#FB61D7
